cv_estado,cv_municipio,tortillerias,population,brute_production
17,013,21,14604,73960
21,134,30,19310,73417
16,017,6,32954,73311
13,009,14,17374,73202
29,023,36,23621,73173
31,083,3,1726,73090
28,030,14,14020,72890
20,405,9,1932,72673
32,013,5,5894,72656
10,020,5,11927,72626
20,467,17,18383,72497
20,087,68,4075,72341
20,042,3,7674,71568
24,057,11,30299,71341
24,051,6,14876,71044
14,092,4,10837,70727
15,006,21,10886,70251
13,024,2,17182,69680
19,034,1,5488,69646
24,046,6,16316,69535
20,557,37,13970,69401
30,120,32,14965,69082
07,071,11,27899,68569
20,525,30,11218,68406
11,024,3,11169,68158
08,003,3,8409,67904
30,164,18,16327,67892
08,053,0,4799,67587
21,064,22,16270,67512
26,039,2,6401,67351
05,013,0,1852,67047
05,013,0,1852,67047
24,027,13,10171,66912
07,102,12,37737,66619
14,072,4,6647,66370
16,036,17,11592,66238
18,002,9,15229,66215
15,111,9,47709,65722
32,037,10,16875,65569
15,016,26,25559,65456
16,029,17,14366,64790
07,099,21,72769,64558
30,106,4,4429,64539
32,014,5,21974,64483
15,056,49,28426,64267
30,145,21,14395,64262
12,006,22,12389,63998
14,111,6,6705,63947
17,032,26,9087,63719
20,030,11,8310,63633
14,020,4,10029,63397
07,030,14,31515,63255
25,016,8,22527,63127
20,278,13,36564,63097
32,057,17,16934,62979
07,064,14,43350,62971
20,025,21,11105,62765
21,179,62,28568,62139
24,001,4,18644,61772
