number,stateCode,state,townCode,town,localCode,local
62,13,HIDALGO,069,TIZAYUCA,0001,TIZAYUCA
62,21,PUEBLA,114,PUEBLA,0190,LA RESURRECCIÓN
62,21,PUEBLA,194,VENUSTIANO CARRANZA,0016,VILLA LÁZARO CÁRDENAS (LA UNO)
62,29,TLAXCALA,025,SAN PABLO DEL MONTE,0002,SAN ISIDRO BUEN SUCESO
62,30,VERACRUZ DE IGNACIO DE LA LLAVE,160,ÁLAMO TEMAPACHE,0001,ÁLAMO
63,14,JALISCO,082,SAYULA,0001,SAYULA
63,21,PUEBLA,132,SAN MARTÍN TEXMELUCAN,0015,SANTA MARÍA MOYOTZINGO
63,27,TABASCO,002,CÁRDENAS,0001,CÁRDENAS
63,30,VERACRUZ DE IGNACIO DE LA LLAVE,123,PÁNUCO,0001,PÁNUCO
64,15,MÉXICO                      ,042,IXTLAHUACA,0016,SAN BARTOLO DEL LLANO
64,20,OAXACA,014,CIUDAD IXTEPEC,0001,CIUDAD IXTEPEC
64,20,OAXACA,318,SAN PEDRO MIXTEPEC,0009,PUERTO ESCONDIDO
64,29,TLAXCALA,033,TLAXCALA,0001,TLAXCALA DE XICOHTÉNCATL
64,30,VERACRUZ DE IGNACIO DE LA LLAVE,141,SAN ANDRÉS TUXTLA,0001,SAN ANDRÉS TUXTLA
65,13,HIDALGO,063,TEPEJI DEL RÍO DE OCAMPO,0001,TEPEJI DEL RÍO DE OCAMPO
65,15,MÉXICO                      ,108,TULTEPEC,0001,TULTEPEC
65,17,MORELOS,020,TEPOZTLÁN,0001,TEPOZTLÁN
65,24,SAN LUIS POTOSÍ        ,011,CIUDAD FERNÁNDEZ,0001,CIUDAD FERNÁNDEZ
66,14,JALISCO,006,AMECA,0001,AMECA
66,21,PUEBLA,197,XICOTEPEC,0029,VILLA ÁVILA CAMACHO (LA CEIBA)
67,06,COLIMA,009,TECOMÁN,0001,TECOMÁN
67,20,OAXACA,150,SAN FRANCISCO TELIXTLAHUACA,0001,SAN FRANCISCO TELIXTLAHUACA
67,20,OAXACA,452,SANTIAGO APÓSTOL,0001,SANTIAGO APÓSTOL
67,30,VERACRUZ DE IGNACIO DE LA LLAVE,051,COYUTLA,0001,COYUTLA
67,31,YUCATÁN       ,089,TICUL,0001,TICUL
68,13,HIDALGO,023,FRANCISCO I. MADERO,0001,TEPATEPEC
68,14,JALISCO,053,LAGOS DE MORENO,0001,LAGOS DE MORENO
68,20,OAXACA,087,SAN AGUSTÍN YATARENI,0001,SAN AGUSTÍN YATARENI
68,21,PUEBLA,075,HUEYAPAN,0001,HUEYAPAN
68,21,PUEBLA,177,TLACOTEPEC DE BENITO JUÁREZ,0001,TLACOTEPEC DE BENITO JUÁREZ
68,29,TLAXCALA,027,TENANCINGO,0001,TENANCINGO
68,31,YUCATÁN       ,041,KANASÍN,0001,KANASÍN
69,11,GUANAJUATO,002,ACÁMBARO,0001,ACÁMBARO
69,14,JALISCO,094,TEQUILA,0001,TEQUILA
69,16,MICHOACÁN DE OCAMPO       ,055,MÚGICA,0001,NUEVA ITALIA DE RUIZ
69,21,PUEBLA,119,SAN ANDRÉS CHOLULA,0001,SAN ANDRÉS CHOLULA
70,12,GUERRERO,040,LEONARDO BRAVO,0001,CHICHIHUALCO
70,24,SAN LUIS POTOSÍ        ,020,MATEHUALA,0001,MATEHUALA
70,30,VERACRUZ DE IGNACIO DE LA LLAVE,028,BOCA DEL RÍO,0037,VERACRUZ
70,31,YUCATÁN       ,096,TIZIMÍN,0001,TIZIMÍN
71,12,GUERRERO,055,TAXCO DE ALARCÓN,0001,TAXCO DE ALARCÓN
71,15,MÉXICO                      ,037,HUIXQUILUCAN,0071,NAUCALPAN DE JUÁREZ
71,29,TLAXCALA,007,EL CARMEN TEQUEXQUITLA,0001,VILLA DE EL CARMEN TEQUEXQUITLA
72,20,OAXACA,023,CUILÁPAM DE GUERRERO,0001,CUILÁPAM DE GUERRERO
73,02,BAJA CALIFORNIA,001,ENSENADA,0001,ENSENADA
73,14,JALISCO,121,ZAPOTILTIC,0001,ZAPOTILTIC
74,07,CHIAPAS,097,TONALÁ,0001,TONALÁ
74,19,NUEVO LEÓN   ,048,SANTA CATARINA,0001,CIUDAD SANTA CATARINA
74,20,OAXACA,079,SALINA CRUZ,0001,SALINA CRUZ
74,20,OAXACA,083,SAN AGUSTÍN DE LAS JUNTAS,0001,SAN AGUSTÍN DE LAS JUNTAS
74,28,TAMAULIPAS,003,ALTAMIRA,0122,MIRAMAR
75,11,GUANAJUATO,003,SAN MIGUEL DE ALLENDE,0001,SAN MIGUEL DE ALLENDE
